a,ā,阿,啊,,,,,,,,好啊,,,,天啊
a,ài,爱,,,,,,,,, ,可爱,爱,,
a,ǎi,矮,,,,,,,,,爱好,矮,,,
a,āi,哎,,,,,,,,,,,,,
a,ān,安,,,,,,,,,"安, 晚安, 安全",安静,,,
a,ào,澳,,,,,,,,,澳大利亚,,,,
a,áo,熬,,,,,,,,,,,熬夜,,
b,ba,吧,巴,,,,,,,,"拖把, 大巴",,,,吧
b,bà,爸,,,,,,,,,爸爸,,,,
b,bā,八,,,,,,,,,八,,,,
b,bǎ,把,,,,,,,,,"没事吧",,,,把
b,bái,白,,,,,,,,,白酒,白色,,,
b,bǎi,百,,,,,,,,,百,,,,
b,ban,,,,,,,,,,,,,,
b,bàn,办,半,扮,,,,,,,"办公室, 怎么办",,,半,
b,bǎn,板,,,,,,,,,老板,,,,
b,bān,班,般,搬,,,,,,,"加班, 航班",,"上班, 下班",,
b,bàng,棒,,,,,,,,,,太棒了,,,
b,bāng,帮,,,,,,,,,帮助,,帮,,
b,bào,报,爆,,,,,,,,"爆米花, 报纸, 预报",,,,
b,bǎo,堡,保,饱,,,,,,,,,,,
b,bāo,包,,,,,,,,,"包, 钱包",,,,
b,bèi,备,被,,,,,,,,,,准备,,被
b,běi,北,,,,,,,,,"北, 北京, 北边",,,,
b,bēi,杯,,,,,,,,,杯子,,,,杯
b,běn,本,,,,,,,,,日本,,,,本
b,bí,鼻,,,,,,,,,鼻子,,,,
b,bì,必,毕,,,,,,,,毕业典礼,,必须,,
b,bǐ,笔,比,,,,,,,,"笔, 比赛",,,比较,比
b,biàn,变,遍,便,,,,,,,便利店,方便,,遍,遍
b,biān,边,,,,,,,,,"西边, 南边, 北边, 东边, 海边",,,"旁边, 下边, 上边, 后边, 前边, 左边, 右边, 一边, 里边, 外边",
b,biǎo,表,,,,,,,,,手表,,,,
b,bié,别,,,,,,,,,,别的,,,"别, 特别"
b,bìng,病,,,,,,,,,,,病,,
b,bǐng,饼,,,,,,,,,饼干,,,,
b,bīng,冰,,,,,,,,,"冰, 冰箱, 冰淇淋",,滑冰,,
b,bo,卜,,,,,,,,,胡萝卜,,,,
b,bó,博,,,,,,,,,博物馆,,,,
b,bú,不,,,,,,,,,不用谢,不同,,差不多,"不, 不行"
b,bù,步,部,不,,,,,,,俱乐部,,跑步,,
b,bǔ,卜,堡,,,,,,,,,,,,
c,cā,擦,,,,,,,,,,,擦,,
c,cái,才,财,,,,,,,,,,,刚才,
c,cài,菜,,,,,,,,,"菜, 芹菜, 生菜",,点菜,,
c,cǎi,彩,,,,,,,,,精彩,彩色,,,
c,cān,参,餐,,,,,,,,快餐,,"参观, 参加",,
с,càn,,,,,,,,,,,,,,
c,cǎo,草,,,,,,,,,草莓,,,,
c,cāo,操,,,,,,,,,操场,,,,
c,cè,厕,,,,,,,,,厕所,,,,
c,cēn,参,,,,,,,,,,,,,
c,céng,层,,,,,,,,,层,,,,
c,chá,茶,查,察,,,,,,,"茶, 警察, 查看",,,,
c,chà,差,,,,,,,,,出差,差,,差不多,
c,chā,叉,差,,,,,,,,叉子,,,,
c,chāi,差,,,,,,,,,,,,,
c,chǎi,差,,,,,,,,,,,,,
c,chǎn,产,,,,,,,,,产品,,,,
c,chàng,唱,,,,,,,,,演唱会,唱,,,
c,cháng,常,长,肠,,,,,,,"长城, 香肠","非常, 长",,常常,
c,chǎng,场,,,,,,,,,"停车场, 机场, 商场, 操场",,,,
c,chǎo,炒,吵,,,,,,,,,吵,吵架,,
c,chāo,超,,,,,,,,,超市,,,,
c,chē,车,,,,,,,,,"自行车, 停车场, 出租车, 火车, 车票, 车",,"开车, 停车, 打车",,
c,chèn,衬,,,,,,,,,衬衫,,,,
c,chén,尘,晨,,,,,,,,吸尘器,,,凌晨,
c,chéng,城,成,橙,程,,,,,,"长城, 橙子, 工程师, 城市, 成绩",橙色,完成,,
c,chí,迟,匙,,,,,,,,,,迟到,,
c,chī,吃,,,,,,,,,,,"吃, 吃饭",,
c,chóng,重,,,,,,,,,,,,重,
c,chōng,充,,,,,,,,,,,,,
c,chōu,抽,,,,,,,,,,,,,
c,chù,处,,,,,,,,,,,,,
c,chǔ,楚,处,,,,,,,,售票处,,,,
c,chú,厨,除,,,,,,,,厨房,, ,除了,
c,chū,初,出,,,,,,,,"出差, 出租车",,"出去, 出生, 出国, 出门, 出发",,
c,chuán,船,,,,,,,,,船,,,,
c,chuān,穿,川,,,,,,,,四川,,穿,,
c,chuáng,床,,,,,,,,,床,,起床,,
c,chuāng,窗,,,,,,,,,窗户,,,,
c,chūn,春,,,,,,,,,春天,,,,
c,cí,词,,,,,,,,,词典,,,,
c,cì,次,,,,,,,,,,,,,次
c,cī,差,,,,,,,,,,,,,
c,cóng,从,,,,,,,,,,,,,从....到
c,cōng,聪,,,,,,,,,,聪明,,,
c,cūn,村,,,,,,,,,农村,,,,
c,cuò,错,,,,,,,,,,错,,,
d,dá,答,,,,,,,,,,,,,
d,dà,大,,,,,,,,,"大衣, 大街, 大巴",大,长大,多大,
d,dǎ,打,,,,,,,,,打折,,"打, 打印, 打扫, 打车, 打开",,
d,dài,袋,戴,带,待,,,,,,"领带, 皮带",,"戴, 带, 期待",,
d,dàn,但,蛋,弹,,,,,,,"鸡蛋, 蛋糕",,"弹钢琴, 弹吉他",,
d,dān,单,担,,,,,,,,订单,,担心,,
d,dāng,当,,,,,,,,,当然,,当,当时,
d,dào,道,到,,,,,,,,道,,"知道, 到, 遇到",,"从....到, 到"
d,dǎo,导,岛,,,,,,,,岛,,,,
d,dāo,刀,,,,,,,,,刀,,,,
d,de,的,得,,,,,,,,,"没有...的, 别的","觉得, 记得",的时候,"的, 得"
d,dé,德,得,,,,,,,,德国,,,,
d,děi,数,,,,,,,,,,,,,
d,děng,等,,,,,,,,,,,等,,
d,dēng,灯,登,,,,,,,,"灯, 台灯",,登录,,
d,dì,地,弟,第,,,,,,,"弟弟, 地铁, 地, 地方, 外地, 地图, 地址",,扫地,,第
d,dián,,,,,,,,,,,,,,
d,diàn,店,电,,,,,,,,"酒店, 商店, 电话, 电视, 电脑, 电影, 药店, 电视剧, 便利店, 电梯",,,,
d,diǎn,点,典,,,,,,,,"点, 词典, 毕业典礼",,"点菜, 点",有点儿,
d,diào,掉,钓,,,,,,,,钓鱼,,扔掉,,
d,dìng,定,订,,,,,,,,"订单,订",,"预订, 订",,
